iter	Passed	Remaining
402	9238	105386
403	9255	105291
404	9274	105224
405	9289	105115
406	9308	105050
407	9328	104990
408	9348	104940
409	9368	104884
410	9388	104824
411	9405	104740
412	9426	104700
413	9446	104638
414	9463	104555
415	9482	104492
416	9502	104432
417	9520	104363
418	9536	104267
419	9553	104183
420	9571	104109
421	9589	104031
422	9607	103954
423	9625	103885
424	9643	103810
425	9661	103736
426	9679	103668
427	9696	103580
428	9714	103512
429	9732	103440
430	9749	103358
431	9766	103275
432	9785	103215
433	9804	103147
434	9823	103089
435	9842	103026
436	9861	102966
437	9879	102899
438	9900	102862
439	9915	102764
440	9935	102707
441	9954	102648
442	9973	102594
443	9991	102524
444	10007	102440
445	10025	102367
446	10045	102323
447	10063	102251
448	10080	102178
449	10101	102132
450	10119	102070
451	10138	102015
452	10159	101972
453	10177	101904
454	10195	101843
455	10214	101786
456	10235	101754
457	10255	101707
458	10271	101618
459	10290	101559
460	10307	101489
461	10324	101411
462	10342	101344
463	10361	101289
464	10380	101234
465	10401	101198
466	10419	101133
467	10434	101041
468	10451	100968
469	10473	100944
470	10488	100850
471	10505	100784
472	10523	100716
473	10541	100660
474	10561	100616
475	10579	100547
476	10598	100494
477	10613	100407
478	10633	100359
479	10650	100293
480	10668	100235
481	10685	100161
482	10703	100101
483	10721	100038
484	10742	100003
485	10762	99965
486	10783	99928
487	10802	99879
488	10822	99836
489	10844	99809
490	10861	99748
491	10879	99686
492	10896	99619
493	10916	99575
494	10938	99550
495	10958	99511
496	10977	99462
497	10996	99411
498	11015	99356
499	11030	99277
500	11047	99204
501	11065	99146
502	11084	99102
503	11101	99032
504	11119	98975
505	11139	98933
506	11159	98897
507	11179	98855
508	11197	98796
509	11214	98734
510	11231	98668
511	11248	98600
512	11265	98533
513	11286	98503
514	11304	98447
515	11322	98392
516	11338	98320
517	11357	98272
518	11377	98229
519	11394	98164
520	11412	98112
521	11429	98049
522	11450	98016
523	11469	97972
524	11487	97920
525	11505	97859
526	11521	97789
527	11538	97726
528	11554	97658
529	11572	97601
530	11590	97544
531	11608	97491
532	11628	97458
533	11648	97417
534	11667	97372
535	11686	97326
536	11704	97272
537	11723	97231
538	11738	97155
539	11767	97191
540	11785	97136
541	11800	97061
542	11817	96996
543	11835	96946
544	11853	96891
545	11870	96836
546	11891	96801
547	11909	96756
548	11929	96720
549	11948	96671
550	11968	96636
551	11987	96591
552	12004	96532
553	12022	96485
554	12038	96416
555	12056	96367
556	12072	96295
557	12089	96235
558	12107	96186
559	12126	96149
560	12145	96099
561	12163	96051
562	12182	96006
563	12200	95963
564	12218	95912
565	12236	95861
566	12258	95837
567	12273	95764
568	12290	95710
569	12309	95671
570	12328	95627
571	12348	95596
572	12370	95571
573	12387	95513
574	12404	95460
575	12425	95437
576	12443	95387
577	12463	95353
578	12481	95305
579	12499	95257
580	12518	95210
581	12534	95147
582	12553	95107
583	12571	95063
584	12589	95012
585	12607	94967
586	12627	94933
587	12646	94893
588	12663	94833
589	12681	94787
590	12698	94737
591	12718	94699
592	12736	94652
593	12754	94609
594	12774	94572
595	12791	94517
596	12810	94477
597	12826	94416
598	12845	94382
599	12863	94331
600	12882	94290
601	12899	94237
602	12916	94187
603	12934	94142
604	12952	94093
605	12970	94049
606	12990	94012
607	13006	93954
608	13025	93914
609	13043	93873
610	13063	93839
611	13082	93799
612	13100	93753
613	13119	93716
614	13137	93672
615	13154	93616
616	13168	93545
617	13189	93521
618	13208	93480
619	13227	93444
620	13247	93411
621	13264	93364
622	13283	93326
623	13302	93288
624	13320	93246
625	13339	93204
626	13357	93158
627	13376	93121
628	13394	93077
629	13409	93013
630	13427	92970
631	13444	92920
632	13460	92865
633	13479	92824
634	13498	92787
635	13515	92740
636	13535	92705
637	13551	92651
638	13568	92602
639	13586	92555
640	13604	92516
641	13622	92470
642	13639	92422
643	13655	92366
644	13673	92320
645	13689	92266
646	13709	92235
647	13726	92188
648	13745	92151
649	13764	92118
650	13783	92078
651	13801	92038
652	13820	92005
653	13840	91971
654	13860	91943
655	13879	91908
656	13896	91863
657	13913	91812
658	13931	91772
659	13952	91747
660	13970	91703
661	13991	91685
662	14010	91648
663	14027	91601
664	14046	91565
665	14062	91510
666	14082	91482
667	14101	91447
668	14118	91398
669	14134	91347
670	14151	91300
671	14169	91258
672	14187	91218
673	14203	91165
674	14221	91119
675	14238	91078
676	14257	91043
677	14275	90999
678	14291	90949
679	14309	90909
680	14328	90871
681	14348	90844
682	14366	90807
683	14386	90780
684	14405	90742
685	14424	90710
686	14443	90674
687	14461	90637
688	14480	90600
689	14499	90566
690	14517	90532
691	14536	90494
692	14554	90454
693	14569	90397
694	14588	90366
695	14607	90328
696	14624	90288
697	14644	90259
698	14663	90223
699	14679	90174
700	14697	90135
701	14715	90097
702	14734	90060
703	14752	90026
704	14771	89990
705	14790	89955
706	14807	89913
707	14826	89877
708	14844	89841
709	14864	89815
710	14879	89759
711	14898	89727
712	14918	89700
713	14939	89679
714	14957	89638
715	14974	89594
716	14989	89539
717	15007	89500
718	15028	89478
719	15044	89433
720	15065	89408
721	15081	89363
722	15099	89325
723	15119	89296
724	15138	89267
725	15157	89234
726	15176	89203
727	15194	89163
728	15211	89122
729	15230	89085
730	15247	89042
731	15264	89002
732	15284	88972
733	15301	88932
734	15317	88882
735	15334	88841
736	15355	88820
737	15374	88787
738	15392	88748
739	15412	88726
740	15426	88667
741	15444	88628
742	15462	88589
743	15480	88553
744	15499	88523
745	15518	88491
746	15538	88464
747	15554	88421
748	15575	88397
749	15592	88358
750	15610	88320
751	15629	88287
752	15646	88250
753	15664	88212
754	15681	88169
755	15697	88124
756	15716	88088
757	15731	88040
758	15751	88012
759	15768	87971
760	15788	87945
761	15807	87916
762	15826	87888
