iter	Logloss
0	0.6836855433
1	0.6734175717
2	0.6637465309
3	0.6541705124
4	0.6454255758
5	0.6366644468
6	0.6281448552
7	0.6200163476
8	0.611802579
9	0.6042821662
10	0.5971077204
11	0.5898566966
12	0.582891851
13	0.5754924932
14	0.5691225334
15	0.5621279545
16	0.5557008357
17	0.5494690591
18	0.5436499195
19	0.5376047323
20	0.5321225419
21	0.5266062034
22	0.5215179458
23	0.5161568297
24	0.5110430277
25	0.5062756498
26	0.501310947
27	0.4966528564
28	0.492064181
29	0.4876134578
30	0.4835237631
31	0.479612795
32	0.4761597421
33	0.4720203877
34	0.4684167319
35	0.4651790031
36	0.4612919505
37	0.457642499
38	0.454263796
39	0.4509696154
40	0.4479288987
41	0.4447864591
42	0.4416432833
43	0.4386397055
44	0.4358982506
45	0.4329769768
46	0.4302188004
47	0.4277905549
48	0.4253386008
49	0.4226731439
50	0.4200667733
51	0.4175920995
52	0.4153931785
53	0.412986303
54	0.4107701143
55	0.4089744974
56	0.4069526357
57	0.404993693
58	0.4031343367
59	0.4010805571
60	0.3994359666
61	0.3977506067
62	0.3958117516
63	0.3941343771
64	0.3924470948
65	0.390844075
66	0.3891565497
67	0.3876006777
68	0.3859730639
69	0.3846608008
70	0.3833259744
71	0.381965375
72	0.3805733124
73	0.3792496425
74	0.377803041
75	0.3764845223
76	0.3751017132
77	0.3739183198
78	0.372723635
79	0.3715895211
80	0.3702968283
81	0.3692145178
82	0.3680053899
83	0.3669643204
84	0.3658569273
85	0.3648448236
86	0.3638906873
87	0.3629775106
88	0.3619904508
89	0.3610461718
90	0.3602006083
91	0.3592945509
92	0.3583568836
93	0.3576727885
94	0.3568965054
95	0.3560258763
96	0.3551441988
97	0.3543075229
98	0.3535962136
99	0.3528361878
100	0.3520606001
101	0.3512661422
102	0.3505488588
103	0.3499291792
104	0.34933969
105	0.3487132014
106	0.3480102241
107	0.3473697351
108	0.3467956875
109	0.3462505936
110	0.3456576229
111	0.3450302899
112	0.3444770469
113	0.3439713174
114	0.3435334994
115	0.3429959747
116	0.342425885
117	0.3418918515
118	0.341470731
119	0.3410058721
120	0.3404980061
121	0.3400455789
122	0.3396697392
123	0.339270968
124	0.3388431974
125	0.3384112331
126	0.3380253725
127	0.3376343558
128	0.3373087098
129	0.3370094768
130	0.3366346452
131	0.3362733666
132	0.335918382
133	0.3355682262
134	0.335191222
135	0.3348647941
136	0.3344961556
137	0.3341121042
138	0.3337724843
139	0.3334503126
140	0.33310852
141	0.3328446575
142	0.3325402757
143	0.3322626894
144	0.3320240729
145	0.3317261392
146	0.3314044126
147	0.3311371576
148	0.3308706533
149	0.3306298546
150	0.3303802476
151	0.3301560045
152	0.3299614513
153	0.3296896178
154	0.3294959259
155	0.3292582454
156	0.3289986174
157	0.3287523812
158	0.3285178886
159	0.3282922187
160	0.3281145147
161	0.3278682087
162	0.3276595059
163	0.3274722717
164	0.3272479661
165	0.3270606068
166	0.3268903566
167	0.3266755402
168	0.3264998114
169	0.3263159625
170	0.3261409003
171	0.3259355514
172	0.3258030536
173	0.3256337777
174	0.3254767568
175	0.3253064163
176	0.3251837433
177	0.3250119508
178	0.3248247948
179	0.3246645451
180	0.324543839
181	0.324382563
182	0.3242175879
183	0.3240534344
184	0.3239061
185	0.3237757663
186	0.3236530127
187	0.3234942799
188	0.3233482929
189	0.3232436756
190	0.3231165744
191	0.3229829529
192	0.3228464551
193	0.3227180305
194	0.322627765
195	0.3224804474
196	0.3223648986
197	0.3222423843
198	0.3221241708
199	0.3219995947
200	0.3218805294
201	0.3217766965
202	0.3216614328
203	0.3215391435
204	0.3214257648
205	0.3213533265
206	0.3212645106
207	0.3211818143
208	0.3210691743
209	0.3209540164
210	0.3208737838
211	0.3207945882
212	0.3206895463
213	0.3206234465
214	0.3205367262
215	0.3204671751
216	0.3203754696
217	0.3203159694
218	0.3202130989
219	0.3201082772
220	0.320023875
221	0.3199541879
222	0.3198744859
223	0.3197838535
224	0.3197330029
225	0.3196787309
226	0.3196017308
227	0.31950341
228	0.319424597
229	0.3193584467
230	0.3192848607
231	0.3192011515
232	0.3191383408
233	0.319058036
234	0.3190056095
235	0.3189495199
236	0.3188651538
237	0.3187948989
238	0.3187332935
239	0.3186621676
240	0.3186114325
241	0.3185385371
242	0.3184571857
243	0.3183770145
244	0.3183117797
245	0.3182695943
246	0.3182169043
247	0.3181690179
248	0.3181093481
